Training Log
Start Time: 2025-10-15 19:13:32
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
max_progress,env1_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp
0,0.000000,2025-10-15 19:13:32,0.0,0.0,0.0,0.0
16,-301.107910,2025-10-15 19:13:36,-0.5892422199249268,-0.12681636214256287,-0.08259952068328857,-0.04208161681890488
18,-190.132629,2025-10-15 19:13:38,-0.46044525504112244,-0.1054816022515297,-0.06082894280552864,-0.03282959386706352
17,-217.171997,2025-10-15 19:13:41,-0.3378327488899231,-0.08373722434043884,-0.04191366583108902,-0.022695593535900116
21,-353.324707,2025-10-15 19:13:44,-0.354991614818573,-0.10085475444793701,-0.0496271476149559,-0.027408912777900696
17,-148.161774,2025-10-15 19:13:47,-0.45828354358673096,-0.13673976063728333,-0.04380489140748978,-0.031032459810376167
24,-199.016388,2025-10-15 19:13:49,-0.3140171468257904,-0.10681067407131195,-0.03140043839812279,-0.02309761568903923
19,-214.013763,2025-10-15 19:13:51,-0.3955932855606079,-0.11405043303966522,-0.050102680921554565,-0.03523971140384674
24,-123.889572,2025-10-15 19:13:54,-0.4724692702293396,-0.13944047689437866,-0.06986567378044128,-0.043794289231300354
17,-369.875519,2025-10-15 19:13:57,-0.4127102494239807,-0.11805084347724915,-0.046763114631175995,-0.024407094344496727
20,-217.907166,2025-10-15 19:14:00,-0.43282097578048706,-0.13205116987228394,-0.05237802118062973,-0.035135820508003235
19,-157.500153,2025-10-15 19:14:02,-0.2909958064556122,-0.10337167233228683,-0.038939811289310455,-0.027452321723103523
16,-204.266327,2025-10-15 19:14:05,-0.33331602811813354,-0.1246001124382019,-0.04455237835645676,-0.03547120466828346
17,-232.468964,2025-10-15 19:14:07,-0.20889705419540405,-0.08470554649829865,-0.038487885147333145,-0.02940048649907112
16,-230.024536,2025-10-15 19:14:10,-0.36585384607315063,-0.12848803400993347,-0.05435905605554581,-0.03676707297563553
17,-232.039719,2025-10-15 19:14:12,-0.3083900213241577,-0.11464560031890869,-0.05200598016381264,-0.03516992926597595
16,-220.616821,2025-10-15 19:14:15,-0.4243171215057373,-0.146683007478714,-0.035517673939466476,-0.02581053599715233
15,-167.208496,2025-10-15 19:14:16,-0.4150557219982147,-0.15163233876228333,-0.030215023085474968,-0.02421663887798786
16,-186.219147,2025-10-15 19:14:19,-0.4482733905315399,-0.17075946927070618,-0.03263912722468376,-0.026927264407277107
17,-207.572479,2025-10-15 19:14:21,-0.4037638306617737,-0.1544424593448639,-0.048697859048843384,-0.03771001100540161
